date,topic,slides,required_reading,optional_reading,disc_leaders,table_class
3/30/2026,Welcome,"[<a href=""https://docs.google.com/presentation/d/1M0I9vPn52jCTgQ8MN2UT1v47S7wnf5KLFwKv66AK7PY/edit?usp=sharing"">Slides</a>]",,None,,
4/1/2026,P: Processes,"[<a href=""https://docs.google.com/presentation/d/1UJIN4iDNAuuyXfpnLKhhwM5L09c8vLFe/edit?usp=sharing"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/df0e9545fe452529051757e36e202e0851189685/inclass_programming/s26-ecs150"">Source</a>]",,OSTEP: Processes,,
4/3/2026,P: OS Architectures,"[<a href=""https://docs.google.com/presentation/d/1dirIfqHEViyvt2HNLRb7cIRMZl3sTflsyI1Gd-mhZ8s/edit?usp=sharing"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/798c1613a86384614fce1f529547319fa7f5c5b0/inclass_programming/s26-ecs150"">Source</a>]",,"OSTEP: Process APIs
<br><b>Project 1 out</b>",,
4/6/2026,P: Process APIs,"[<a href=""https://docs.google.com/presentation/d/10RFxARkAP-T0l2hvUmTMjoxfM9Gv6zMByF_eZwwXAZI/edit?usp=sharing"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/2b003b20363bf295a99ce35d19dc6a6ed5fcf57f/inclass_programming/s26-ecs150"">Source</a>]",,OSTEP: Process APIs,,
4/8/2026,A: Address space and translation,"[<a href=""https://docs.google.com/presentation/d/1EOlXXCn5Czm-N7DG3iHj8pCxJG2C0K7ZWCX-TiRSkl8/edit?usp=sharing"">Slides</a>]  [<a href=""https://github.com/kingst/kingst-ucdavis/tree/8dc3bdf4b77f6f8ff0f6857439ee7215385fbd19/inclass_programming/s26-ecs150"">Source</a>]",,"OSTEP: Address Space, Address translation and OSTEP: Direct Execution",,
4/10/2026,A: Virtual memory and paging,"[<a href=""https://docs.google.com/presentation/d/1jAujr2KytqksrduO3Xk5QZO6RVOHBA3F/edit?usp=sharing"">Slides</a>]",,,,
4/13/2026,T: Concurrency and threads,"[<a href=""https://docs.google.com/presentation/d/1bj5IZ-pdNTYtOFt7gebZpd7b2XK7dQvvOg8Nm5ksQPM/edit?slide=id.g2fa0d5366fd_0_28#slide=id.g2fa0d5366fd_0_28"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/571fc306a0ed3287345aaa0d9d38a14726cebb19/inclass_programming/s26-ecs150"">Source</a>]",,"OSTEP: Concurrency and threads
<br><b>Project 1 due</b>
<br><b>Project 2 out</b>",,
4/15/2026,T: Concurrency and threads,"[<a href=""https://docs.google.com/presentation/d/1cvEuoJCdfsj8zUmWg8N9XUNb6DrGJRZqgT_p72QOg4g/edit?usp=sharing"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/dbeb86dcab094c78ab1084fb9069e15b56c52ab5/inclass_programming/s26-ecs150"">Source</a>]",,OSTEP: Thread API,,
4/17/2026,T: Pthreads,"[<a href=""https://docs.google.com/presentation/d/14avjS08YgF_9YFHaFycWKBwN9qPqiKymkvprHGH7gaY/edit?usp=sharing"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/a830e901ac8dd4698c93e394cd5fdce2f041dc7e/inclass_programming/s26-ecs150"">Source</a>]",,OSTEP: Thread API,,
4/20/2026,T: Atomicity,"[<a href=""https://docs.google.com/presentation/d/1yz4DzatHACduxO9w0xKEiDsWWd-r5uhEshljD5aXQlA/edit?usp=sharing"">Slides</a>]",,OSTEP: Concurrency and threads,,
4/22/2026,T: Synchronization,"[<a href=""https://docs.google.com/presentation/d/1Rhd9g-P7q_lXOyHcrSz_wln0S_9GjAuWrYS2u9Vm340/edit?usp=sharing"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/a4718378ac9ab587bf0f9f0fe9b8f3fce0e6775e/inclass_programming/s26-ecs150"">Source</a>]",,"OSTEP: Concurrency and threads
<br><b>Project 2 due</b>
<br><b>Project 3 out</b>",,
4/24/2026,T: Locks,"[<a href=""https://docs.google.com/presentation/d/1-Bs1fPQ4R6FHiL869NMPHR05v4HLXpE6clC2JcRRJ3w/edit?usp=sharing"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/ffd7f0ee212e6735e35e1122aef47c63587e7db3/inclass_programming/s26-ecs150"">Source</a>]",,OSTEP: Locks,,
4/27/2026,T: Monitors & condition variables,"[<a href=""https://docs.google.com/presentation/d/1wUPcL-okjL6zrvJmyYa9o70pSFcUkw7FjvV0m4vQ1h4/edit?usp=sharing"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/77b1d445499703d4c019c73637c99e9c70cb0f60/inclass_programming/s26-ecs150"">Source</a>]",,OSTEP: Locked data structures,,
4/29/2026,T: Monitors & condition variables,,,OSTEP: Condition variables,,
5/1/2026,T: Monitors & condition variables,,,OSTEP: Concurrency bugs,,
5/4/2026,T: Classic synchronization problems,,,,,
5/6/2026,T: Classic synchronization problems,,,,,
5/8/2026,Midterm,,,,,
5/11/2026,Midterm results,,,<b>Project 3 due</b><br><b>Project 4 out</b>,,
5/13/2026,F: File system concepts,,,OSTEP: Files and directories,,
5/15/2026,F: Introducing project 4,,,,,
5/18/2026,F: File system implementation,,,OSTEP: File system implementation,,
5/20/2026,F:  File system implementation,,,OSTEP: File system implementation,,
