date,topic,slides,required_reading,optional_reading,disc_leaders,table_class
Monday 1/8,Why ethics in technology?,"[<a href=""https://docs.google.com/presentation/d/1lWNT3QD5rTTyV8WM7o9b3ANo7qL0HkPHb_mPnTEGKis/edit#slide=id.p"">gdoc</a>]",None,"Read on next entry what you need to do for Friday Watch an interesting video on the progression of information technologies. Do compare the <a href=""http://www.youtube.com/watch?v=cL9Wu2kWwSY"">Did you know? (2008)</a> version with the <a href=""https://www.youtube.com/watch?annotation_id=annotation_1871640555&feature=iv&src_vid=XrJjfDUzD7M&v=uqZiIO0YI7Y"">Did you know (2016)</a> version!",Sam,
Wednesday 1/10,Discuss the Terrell Bynum paper,"[<a href=""https://docs.google.com/presentation/d/1LibEZ0uHQ5kHshhli3Em9VFTQL5cbeHie1wE3GyHki4/edit#slide=id.p"">gdoc</a>]","Read the <a href=""http://plato.stanford.edu/entries/ethics-computer/"">History of Computer and Information Ethics</a> [<a href=""/assets/ecs188/computer_and_information_ethics.pdf"">pdf</a>] by Terrell Bynum","Additional reading material:
<ul>
<li><a href=""http://plato.stanford.edu/entries/morality-definition/"">The definition of morality</a> [<a href=""/assets/ecs188/the_definition_of_morality.pdf"">pdf</a>] for a philosophical definition of morality as a foundation to ethics.</li>
<li><a href=""http://stanford.library.usyd.edu.au/archives/spr2006/entries/ethics-computer/"">Computer Ethics: Basic Concepts and Historical Overview</a> [<a href=""/assets/ecs188/computer_ethics_basic_concepts.pdf"">pdf</a>] for an older overview.</li>
<li><a href=""/assets/ecs188/weiner_humanuse.pdf"">The human use of human beings (Weiner, 2nd edition)</a>.</li>
</ul>",Sam,
Friday 1/12,Discuss if we should allow students to take smart drugs,"[<a href=""https://docs.google.com/presentation/d/1KsiDlu1fJjKVv40v-JJq4XXmRzDbbYbfhUaO8SjqOYY/edit#slide=id.p"">gdoc</a>]","Come to class prepared to debate both positions: <i>""Yes, students should be allowed""</i> and <i>""No, students should not be allowed""</i>. Read <a href=""/assets/ecs188/Greely_08.pdf"">Towards responsible use of cognitive-enhancing drugs by the healthy</a> (Greely et al, 2008).","Possible reading to support your arguments:
<ul>
<li><a href=""http://www.mercurynews.com/2016/07/09/hacking-the-brain-silicon-valley-entrepreneurs-turn-to-fasting-and-smart-drugs/"">Hacking the brain</a> [<a href=""/assets/ecs188/hacking_the_brain.pdf"">pdf</a>] ; an article in the Mercury news on smart drugs in Silicon Valley.</li>
<li><a href=""/assets/ecs188/Husain_2011.pdf"">Cognitive enhancement by drugs in health and disease (a review)</a> (Husain and Mehta, 2011).</li>
<li><a href=""/assets/ecs188/Dubljevic_13.pdf"">Regulation of Amphetamine and Methylphenidate for Enhancement Use by Healthy Adults</a> (Dubljevic, 2013).</li>
<li><a href=""/assets/ecs188/Greely_13.pdf"">Some First Steps Toward Responsible Use of Cognitive-Enhancing Drugs by the Healthy</a> (Greely, 2013). A commentary on the paper by Dubljevic.</li>
</ul>",Sam,
Monday 1/15,"No class, MLK Day",,None,,,table-danger
Wednesday 1/17,Apple should comply to the FBI,,"Read the <a href=""http://www.apple.com/customer-letter/"">Apple letter</a> to its customers about the case and the article from Wired magazine on <a href=""http://www.wired.com/2016/02/apple-fbi-privacy-security/"">The Apple-FBI fight is not about privacy versus security. Do not be misled.</a>
<br><br>
Come to class prepared to debate both positions: <i>""Yes, Apple should comply""</i> and <i>""No, Apple should not comply""</i>","Possible readings to support your arguments:
<ul>
<li>In support of the FBI: transcript of a NPR <a href=""http://www.npr.org/2016/02/24/467711098/transcript-nprs-interview-with-cia-director-john-brennan"">interview with CIA director John Brennan</a></li>
<li>A view from our Canadian neighbours: <a href=""http://www.cbc.ca/news/technology/apple-fbi-explainer-1.3459952"">Apple's privacy fight with the FBI explained</a></li>
</ul>",Sam,
Friday 1/19,Gender and bias in tech,,"(a) Read <a href=""https://www.theatlantic.com/magazine/archive/2017/04/why-is-silicon-valley-so-awful-to-women/517788/https://www.theatlantic.com/magazine/archive/2017/04/why-is-silicon-valley-so-awful-to-women/517788/"">Why Is Silicon Valley So Awful to Women?</a> [<a href=""/assets/ecs188/mundy.pdf"">pdf</a>] by Lizy Mundy (2017). (b) Read <a href=""/assets/ecs188/damore.pdf"">Google’s Ideological Echo Chamber</a> by James Damore (2017). (c) spend an hour or so to research reaction to (b) and to form your own opinion on it.","Listen to <a href=""https://www.npr.org/2017/10/09/556116385/nature-nurture-and-our-evolving-debates-about-gender"">The Edge of Gender</a> by Shankar Vedantam (2017).",Sam,
Monday 1/22,MQI,,,<b>Final paper Milestone 1 due</b>,Sam,table-warning
Wednesday 1/24,,,,,,
Friday 1/26,,,,,,
Monday 1/29,,,,,,
Wednesday 1/31,,,,,,
Friday 2/2,,,,,Kris Quon,
Monday 2/5,,,,,,
Wednesday 2/7,,,,,,
Friday 2/9,,,,,,
Monday 2/12,BlackMirror1,,,,Kris Quon,
Wednesday 2/14,BlackMirror2,,,,,
Friday 2/16,BlackMirror3,,,<b>Final paper Milestone 2 due</b>,,table-warning
Monday 2/19,"No class, President's Day",,,,,table-danger
Wednesday 2/21,,,,,,
Friday 2/23,,,,,,
Monday 2/26,,,,,,
Wednesday 2/28,,,,,,
Friday 3/2,,,,,,
Monday 3/5,,,,,,
Wednesday 3/7,,,,<b>Final paper due</b>,,table-warning
Friday 3/9,"No class, prep for presentations",,,,,table-danger
Monday 3/12,Presentations,,None,None,,table-info
Wednesday 3/14,Presentations,,None,None,,table-info
Friday 3/16,Presentations,,None,None,,table-info
