date,topic,slides,required_reading,optional_reading,disc_leaders,table_class
9/25/24,Welcome,"[<a href=""https://docs.google.com/presentation/d/1sXg2kV6LZKWq8nIdLR8YAhJZevumjMdf8WAbHTnqG7M/edit?usp=sharing"">Slides</a>]",,None,,
9/27/24,P: Processes,"[<a href=""https://docs.google.com/presentation/d/1vduP8Mu8yusULgdUINdW5wLnz8egOKaS/edit?usp=sharing&ouid=101454584770337253991&rtpof=true&sd=true"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/ce1b6a977efbb0180cc53a80776f0604d59d40cd/inclass_programming/f24-ecs150"">Source</a>]",,OSTEP: Processes,,
9/30/24,P: OS Architectures,"[<a href=""https://docs.google.com/presentation/d/1eJf944Aj1bLQXIlpbjAixTnTgg1VlgJHFfDCl2nTLQQ/edit#slide=id.p"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/de9316f4ecd768da0ef9b846d62ab69f4a4d001d/inclass_programming/f24-ecs150"">Source</a>]",,"OSTEP: Process APIs
<br><b>Project 1 out</b>",,
10/2/24,P: Process APIs,"[<a href=""https://docs.google.com/presentation/d/1DKy4wskQFUbMmwUC7cTTY5ayeptTj4AZkSoB0ccrbxs/edit#slide=id.g307b1917f39_0_128"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/1e43653be38fe4f8b2e86850bd3e79524110c63c/inclass_programming/f24-ecs150"">Source</a>]",,OSTEP: Process APIs,,
10/4/24,A: Address space and translation,"[<a href=""https://docs.google.com/presentation/d/1xOXatPs_W-42JhRCKoVFtwJH4g7Y6ggh2tsDKD0ifXE/edit#slide=id.p"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/a0e989221b7510d4e4233af9b2fe999dc94f0b32/inclass_programming/f24-ecs150"">Source</a>]",,"OSTEP: Address Space, Address translation and OSTEP: Direct Execution",,
10/7/24,A: Introduction to paging,"[<a href=""https://docs.google.com/presentation/d/1bNlrJ929O_BEWAUrT9tsXo4M6Y-jwi5HEQGjYxYZ3vw/edit?usp=sharing"">Slides</a>]",,"OSTEP: Introduction to paging
<br><b>Project 1 due</b>
<br><b>Project 2 out</b>",,
10/9/24,T: Concurrency and threads,"[<a href=""https://docs.google.com/presentation/d/1A75xdRDBkKAjB45ZGZmQlQp6Xr9437siisgJtUMythQ/edit#slide=id.p"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/617a8f4c37d99674b28b83149c6592233c97d5c8/inclass_programming/f24-ecs150"">Source</a>]",,OSTEP: Concurrency and threads,,
10/11/24,T: Concurrency and threads,"[<a href=""https://docs.google.com/presentation/d/1seP_TRa2vwkzD2qMa0dfCxQSODok2oKVqtfUEenueCM/edit?usp=sharing"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/2d7f267b855324d2023834aefd02c8b23ee54973/inclass_programming/f24-ecs150"">Source</a>]",,OSTEP: Thread API,,
10/14/24,T: Pthreads,"[<a href=""https://github.com/kingst/kingst-ucdavis/tree/5f083163cd74862b4b7aa4197fb315d574f63e06/inclass_programming/f24-ecs150"">Source</a>]",,OSTEP: Thread API,,
10/16/24,T: Atomicity,"[<a href=""https://docs.google.com/presentation/d/1ux9JZi95Mwh-6a30GMI0f4pm-ssDmK4b8dIXqLgYTdo/edit?usp=sharing"">Slides</a>] ",,OSTEP: Concurrency and threads,,
