date,topic,slides,required_reading,optional_reading,disc_leaders,table_class
10/18/24,T: Synchronization,"[<a href=""https://docs.google.com/presentation/d/1xw4Nsy14z32DswqAkSx1P33aalN1Ahz7EFLPDRoQ-Oc/edit?usp=sharing"">Slides</a>]",,"OSTEP: Concurrency and threads
<br><b>Project 2 due</b>
<br><b>Project 3 out</b>",,
10/21/24,T: Locks,"[<a href=""https://docs.google.com/presentation/d/10-8lElQOAGALyta-ESoGldOgj7Fc2hgFiCuYSM6Jvus/edit?usp=sharing"">Slides</a>]",,OSTEP: Locks,,
10/23/24,T: Monitors & condition variables,"[<a href=""https://docs.google.com/presentation/d/1FbwTcJXD486wXpd5JON2BvFzio_ztP0vwvj6xZu7eFA/edit?usp=sharing"">Slides</a>]",,OSTEP: Locked data structures,,
10/25/24,T: Monitors & condition variables,"[<a href=""https://docs.google.com/presentation/d/15elMN5BFxqsM9aarlu1Qw1gxe3WuthOTegRNb6IitGY/edit#slide=id.g30e5fcd59f5_0_354"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/36c32b3d22ae6a61e35f9325c40ff1dd6ee559e0/inclass_programming/f24-ecs150"">Source</a>]",,OSTEP: Condition variables,,
10/28/24,T: Monitors & condition variables,"[<a href=""https://docs.google.com/presentation/d/1XiO3QZ_NqGm6jlex1ZM6WcPJlp9uYZANszy0Zxu4WZw/edit#slide=id.g30f73f1e0ca_0_166"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/00c4f133d90a74319abe76bb9ee126db9a362412/inclass_programming/f24-ecs150"">Source</a>]",,OSTEP: Concurrency bugs,,
10/30/24,T: Classic synchronization problems,"[<a href=""https://docs.google.com/presentation/d/1KS5LCyN2MQ-QdVkPinhSYaBzrKI2rJ2AxZwFsUeJmFg/edit#slide=id.g310526591cc_0_237"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/a0fa3fe48d2a9201913d900fa389027d3d25407f/inclass_programming/f24-ecs150"">Source</a>]",,,,
11/1/24,T: Classic synchronization problems,"[<a href=""https://docs.google.com/presentation/d/1KS5LCyN2MQ-QdVkPinhSYaBzrKI2rJ2AxZwFsUeJmFg/edit#slide=id.g310526591cc_0_237"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/efd98c35decece5d96abd5c402d9a8518e6a7ba0/inclass_programming/f24-ecs150"">Source</a>]",,,,
11/4/24,Midterm review,"[<a href=""https://docs.google.com/presentation/d/1p4dqOx-Xih8Karyzc9Pqen5HuDs2reIgh4Wsxfpi4Sg/edit?usp=sharing"">Slides</a>]",,,,
11/6/24,Midterm,,,,,
11/8/24,Midterm results,,,<b>Project 3 due</b>,,danger
11/11/24,No class: Holiday,,,<b>Project 4 out</b>,,
11/13/24,F: File system concepts,"[<a href=""https://docs.google.com/presentation/d/1gu1lHJhbI0TvfDwYAneHBNgbmoms-Ws0W95lLIE8L74/edit?usp=sharing"">Slides</a>]",,OSTEP: Files and directories,,
11/15/24,F: Introducing project 4,"[<a href=""https://docs.google.com/presentation/d/1Mc7XiXBvPKgJyblDjSMN6odksQSUmZh1c7oTy8-Crl0/edit?usp=sharing"">Slides</a>]",,,,
11/18/24,F: File system implementation,"[<a href=""https://docs.google.com/presentation/d/1XJCdXkCsL5H1QAJX9rodnu-hHbbbneSgFXmG_a0vunY/edit?usp=sharing"">Slides</a>]",,OSTEP: File system implementation,,
11/20/24,F:  File system implementation,"[<a href=""https://docs.google.com/presentation/d/1-0dc1ify4WC4S3qRjueEgULc36x14VchyEkCIpiJaHA/edit?usp=sharing"">Slides</a>]",,OSTEP: File system implementation,,
11/22/24,F: File system implementation,"[<a href=""https://docs.google.com/presentation/d/1JJBaiTRt_GcPvtj45My9kFjHf45i3jFzDKTAvLraIpA/edit?usp=sharing"">Slides</a>]",,OSTEP: Fast file system (FFS),,
11/25/24,Networking and APIs,,,,,
11/27/24,Networking and APIs,,,,,
11/29/24,No class: Holiday,,,,,danger
12/2/24,TBD,,,,,
12/4/24,TBD,,,,,
12/6/24,Final review,,,<b>Project 4 due</b>,,
