date,topic,slides,required_reading,optional_reading,disc_leaders,table_class
1/6/25,Welcome,"[<a href=""https://docs.google.com/presentation/d/1aRf7IGKItJzwTQTc3oPuoauzEkI8mt7I2oXxORDRkbM/edit?usp=sharing"">Slides</a>]",,None,,
1/8/25,P: Processes,"[<a href=""https://docs.google.com/presentation/d/1koGz5v787hdIgtb3XDoZJoX3CJ71SSxA/edit?usp=sharing&ouid=101454584770337253991&rtpof=true&sd=true"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/e9760ae082eedfcef4c6ec9d90b561729381dbf6/inclass_programming/w25-ecs150"">Source</a>]",,OSTEP: Processes,,
1/10/25,P: OS Architectures,"[<a href=""https://docs.google.com/presentation/d/1wvLF4f6vM2fMccV5HIKXqZc4gm87ySALtJ1JAof3gxQ/edit#slide=id.p"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/1bc0fbd577f849a6f5d3afe37645475ed18a3dce/inclass_programming/w25-ecs150"">Source</a>]",,"OSTEP: Process APIs
<br><b>Project 1 out</b>",,
1/13/25,P: Process APIs,"[<a href=""https://docs.google.com/presentation/d/1ZZWFDs55Exfk3s5cjRMyuMRaGbf3oNrpHYh5YlDft_o/edit?usp=sharing"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/409f0506a7947d313fc5807730465a11fca4b18d/inclass_programming/w25-ecs150"">Source</a>]",,OSTEP: Process APIs,,
1/15/25,A: Address space and translation,"[<a href=""https://docs.google.com/presentation/d/1HIsp7soyBpVBJjwp3WDYqHwr1G1EF9HjA3OWV9axAYo/edit#slide=id.p"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/6cf4d44478cd5ff8cec19e7e977864c60bede059/inclass_programming/w25-ecs150"">Source</a>]",,"OSTEP: Address Space, Address translation and OSTEP: Direct Execution",,
1/17/25,T: Concurrency and threads,"[<a href=""https://docs.google.com/presentation/d/1alj-O6aYKzMN_qxnTD9dBH4Ltvjl_YpZnM0fcb_69sU/edit?usp=sharing"">Slides</a>]",,"OSTEP: Concurrency and threads
<br><b>Project 1 due</b>
<br><b>Project 2 out</b>",,
1/20/25,No class: Holiday,,,,,
1/22/25,T: Concurrency and threads,"[<a href=""https://docs.google.com/presentation/d/13Lxsm51Cl7hbowe-lwGrNr-s6O387MGkTtW7bjIx7Bs/edit#slide=id.g2fa0d5366fd_0_28"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/f59e3b5b0170dbf23a4f4ed86dff18375a949334/inclass_programming/w25-ecs150"">Source</a>]",,OSTEP: Thread API,,
1/24/25,T: Pthreads,"[<a href=""https://docs.google.com/presentation/d/1ypSbCSiu8CONw9y6K68l-wQG2qHiiBw58KHx-gu4p0w/edit#slide=id.p"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/f62d894b358d455e4396209fff24a413409d18f4/inclass_programming/w25-ecs150"">Source</a>]",,OSTEP: Thread API,,
1/27/25,T: Atomicity,"[<a href=""https://docs.google.com/presentation/d/1zrvzKn5ec8uRnsSXhdQ5YzNyDc-WQ46mTMv41lfVzto/edit#slide=id.p"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/72ebe1f44e3794c6addcbcc091fb3722a8701962/inclass_programming/w25-ecs150"">Source</a>]",,OSTEP: Concurrency and threads,,
1/29/25,T: Synchronization,"[<a href=""https://docs.google.com/presentation/d/1oLQobevhz-tgHdXpleStC5p-9BvUh2ydsTkSgAUiw8Q/edit#slide=id.g30c3fc1de3a_0_251"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/3b458e87249bbe6b370f84759be866d3e4aabc5b/inclass_programming/w25-ecs150"">Source</a>]",,OSTEP: Concurrency and threads,,
1/31/25,T: Locks,"[<a href=""https://docs.google.com/presentation/d/1Uvofmyu8smo0vclx0VZipVyuB1A0PHhONrBCm5d6Pkk/edit#slide=id.g30d19ea78c7_0_418"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/0f230e27e2d429fbe646eae37312c106505ca5c3/inclass_programming/w25-ecs150"">Source</a>]",,"OSTEP: Locks<br><b>Project 2 due</b>
<br><b>Project 3 out</b>",,
2/3/25,T: Monitors & condition variables,"[<a href=""https://docs.google.com/presentation/d/1S_Yw9rGXEOZgzIbiutIUOVYhIp9ma9VqVs1QgW_8mGY/edit#slide=id.g30de90f3aa0_0_307"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/a9d1dddcaa054d625f45df1a479ccd098e92ca35/inclass_programming/w25-ecs150"">Source</a>]",,OSTEP: Locked data structures,,
2/5/25,T: Monitors & condition variables,"[<a href=""https://docs.google.com/presentation/d/15a02kiHRvsbZOFDV8LgaQzw6eQ3kcVgf56kIxepdTv4/edit?usp=sharing"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/9a26073194eb220dd86e0e0e8e5bba5f082cf45b/inclass_programming/w25-ecs150"">Source</a>]",,OSTEP: Condition variables,,
