date,topic,slides,required_reading,optional_reading,disc_leaders,table_class
2/7/25,T: Monitors & condition variables,"[<a href=""https://docs.google.com/presentation/d/1dRr67EzGQblrJE2iQFYRPsnf5ayYU5zcmL15H-BHMKw/edit?usp=sharing"">Slides</a>]",,OSTEP: Concurrency bugs,,
2/10/25,T: Classic synchronization problems,"[<a href=""https://docs.google.com/presentation/d/1U4Qu_Cff2v8KUyqjGYGFLP6zCt7g-w3kcDt_-7TGdqc/edit?usp=sharing"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/9b3340584c49c0b3c2e63e6297931bc89a480464/inclass_programming/w25-ecs150"">Source</a>]",,,,
2/12/25,T: Classic synchronization problems,"[<a href=""https://docs.google.com/presentation/d/1W5O25XQTbu1MBVRX740cYv4JpndWPiNOM5BK5tDQo4g/edit?usp=sharing"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/4f06bf760490ba52c6754ebd4d7ec982f4e2c231/inclass_programming/w25-ecs150"">Source</a>]",,,,
2/14/25,Midterm (review during Thursday's discussion),,,,,
2/17/25,No class: Holiday,,,,,
2/19/25,Midterm results,,,<b>Project 3 due</b><br><b>Project 4 out</b>,,
2/21/25,F: File system concepts,"[<a href=""https://docs.google.com/presentation/d/15EnePGRbgdAQH4MLLjcV0RKxskB44IS-hm9EyZct9hg/edit?usp=sharing"">Slides</a>]",,OSTEP: Files and directories,,
2/24/25,F: Introducing project 4,"[<a href=""https://docs.google.com/presentation/d/1GkuWx9zOkRj5oDUneLomIWCu477uPozP78PtfvAhsDs/edit?usp=sharing"">Slides</a>]",,,,
2/26/25,F: File system implementation,"[<a href=""https://docs.google.com/presentation/d/1TeZzP5mJbKxB8PUriuDkVAKm6Ha6QYr27Vgjt142esw/edit?usp=sharing"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/aa84f68730673c5d15787b764d3e7b16cf4d5c3c/inclass_programming/w25-ecs150"">Source</a>]",,OSTEP: File system implementation,,
2/28/25,F:  File system implementation,,,OSTEP: File system implementation,,
3/3/25,F: File system implementation,,,OSTEP: Fast file system (FFS),,
3/5/25,API: Networking and APIs,,,,,
3/7/25,API: Networking and APIs,,,,,
3/10/25,Final review part 1,,,,,
3/12/25,(Optional) Advice and ask Sam anything,,,,,
3/14/25,Final review part 2,,,<b>Project 4 due</b>,,
