date,topic,slides,required_reading,optional_reading,disc_leaders,row_class
5/4/2020,malicious,,TBD,,,
5/6/2020,<b>Big idea: Computers need to be able to identify humans,,,,,
5/8/2020,identity,,TBD,,,
5/11/2020,identity,,TBD,,,
5/13/2020,<b>Big idea: The human side of secure computer systems</b>,,,,,
5/15/2020,human,,TBD (SSL indicators?),,,
5/18/2020,human,,TBD (Why johnny still can't encrypt?),,,
5/20/2020,<b>Big idea: Computer security in non traditional areas</b>,,,,,
5/22/2020,spam,,TBD (Partner abuse?),,,
5/25/2020,Memorial day,,,,,
5/27/2020,spam,,TBD,,,
5/29/2020,In class presentations,,,,,
6/1/2020,In class presentations,,,,,
6/3/2020,In class presentations,,,,,
